,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6
Player 1,Group 6,Group 16,Group 19,Group 15,Group 11,Group 9
Player 2,Group 15,Group 7,Group 11,Group 3,Group 1,Group 6
Player 3,Group 17,Group 11,Group 14,Group 17,Group 9,Group 11
Player 4,Group 18,Group 10,Group 1,Group 15,Group 12,Group 16
Player 5,Group 12,Group 18,Group 12,Group 3,Group 3,Group 18
Player 6,Group 5,Group 6,Group 16,Group 15,Group 16,Group 18
Player 7,Group 18,Group 8,Group 2,Group 6,Group 6,Group 15
Player 8,Group 1,Group 15,Group 3,Group 19,Group 4,Group 3
Player 9,Group 11,Group 11,Group 16,Group 12,Group 6,Group 19
Player 10,Group 16,Group 9,Group 12,Group 10,Group 9,Group 12
Player 11,Group 13,Group 19,Group 2,Group 11,Group 16,Group 2
Player 12,Group 5,Group 13,Group 12,Group 18,Group 17,Group 7
Player 13,Group 17,Group 18,Group 7,Group 12,Group 8,Group 17
Player 14,Group 3,Group 4,Group 5,Group 5,Group 7,Group 3
Player 15,Group 14,Group 14,Group 7,Group 13,Group 16,Group 8
Player 16,Group 17,Group 14,Group 8,Group 9,Group 12,Group 4
Player 17,Group 10,Group 16,Group 3,Group 11,Group 17,Group 6
Player 18,Group 2,Group 3,Group 17,Group 4,Group 19,Group 14
Player 19,Group 2,Group 8,Group 15,Group 14,Group 18,Group 12
Player 20,Group 14,Group 7,Group 6,Group 4,Group 3,Group 1
Player 21,Group 18,Group 2,Group 9,Group 19,Group 13,Group 4
Player 22,Group 10,Group 7,Group 19,Group 7,Group 18,Group 3
Player 23,Group 13,Group 17,Group 4,Group 10,Group 10,Group 17
Player 24,Group 9,Group 4,Group 4,Group 12,Group 13,Group 5
Player 25,Group 3,Group 12,Group 4,Group 9,Group 1,Group 12
Player 26,Group 8,Group 8,Group 5,Group 18,Group 11,Group 1
Player 27,Group 3,Group 19,Group 9,Group 17,Group 3,Group 13
Player 28,Group 19,Group 16,Group 8,Group 2,Group 18,Group 5
Player 29,Group 10,Group 18,Group 13,Group 17,Group 6,Group 8
Player 30,Group 7,Group 13,Group 4,Group 2,Group 19,Group 9
Player 31,Group 1,Group 6,Group 15,Group 7,Group 2,Group 8
Player 32,Group 12,Group 7,Group 18,Group 6,Group 9,Group 10
Player 33,Group 13,Group 1,Group 1,Group 17,Group 8,Group 6
Player 34,Group 8,Group 6,Group 1,Group 2,Group 6,Group 14
Player 35,Group 7,Group 3,Group 6,Group 1,Group 2,Group 15
Player 36,Group 8,Group 18,Group 8,Group 8,Group 14,Group 10
Player 37,Group 4,Group 12,Group 11,Group 15,Group 14,Group 17
Player 38,Group 1,Group 3,Group 18,Group 5,Group 5,Group 7
Player 39,Group 14,Group 16,Group 17,Group 5,Group 15,Group 2
Player 40,Group 9,Group 14,Group 17,Group 19,Group 11,Group 11
Player 41,Group 9,Group 10,Group 15,Group 11,Group 1,Group 14
Player 42,Group 16,Group 2,Group 13,Group 6,Group 7,Group 7
Player 43,Group 11,Group 17,Group 9,Group 11,Group 7,Group 12
Player 44,Group 4,Group 17,Group 19,Group 5,Group 19,Group 10
Player 45,Group 4,Group 9,Group 14,Group 16,Group 8,Group 7
Player 46,Group 19,Group 11,Group 11,Group 1,Group 12,Group 13
Player 47,Group 19,Group 5,Group 14,Group 7,Group 15,Group 19
Player 48,Group 9,Group 1,Group 16,Group 16,Group 2,Group 16
Player 49,Group 16,Group 4,Group 7,Group 1,Group 11,Group 16
Player 50,Group 5,Group 12,Group 2,Group 14,Group 5,Group 10
Player 51,Group 19,Group 4,Group 10,Group 8,Group 9,Group 9
Player 52,Group 6,Group 9,Group 18,Group 1,Group 13,Group 3
Player 53,Group 15,Group 19,Group 3,Group 14,Group 2,Group 17
Player 54,Group 11,Group 2,Group 12,Group 2,Group 4,Group 6
Player 55,Group 7,Group 15,Group 18,Group 16,Group 3,Group 4
Player 56,Group 6,Group 15,Group 7,Group 10,Group 12,Group 15
Player 57,Group 13,Group 5,Group 13,Group 3,Group 4,Group 13
Player 58,Group 4,Group 11,Group 9,Group 4,Group 16,Group 9
Player 59,Group 12,Group 19,Group 19,Group 4,Group 14,Group 8
Player 60,Group 11,Group 13,Group 10,Group 19,Group 5,Group 15
Player 61,Group 2,Group 2,Group 5,Group 8,Group 5,Group 13
Player 62,Group 16,Group 10,Group 14,Group 13,Group 18,Group 1
Player 63,Group 10,Group 15,Group 6,Group 13,Group 19,Group 5
Player 64,Group 3,Group 17,Group 10,Group 7,Group 8,Group 4
Player 65,Group 6,Group 1,Group 5,Group 13,Group 17,Group 19
Player 66,Group 2,Group 12,Group 3,Group 16,Group 15,Group 5
Player 67,Group 18,Group 1,Group 15,Group 18,Group 7,Group 18
Player 68,Group 8,Group 9,Group 11,Group 14,Group 10,Group 18
Player 69,Group 12,Group 14,Group 2,Group 10,Group 1,Group 16
Player 70,Group 5,Group 5,Group 8,Group 6,Group 13,Group 1
Player 71,Group 7,Group 6,Group 10,Group 18,Group 4,Group 2
Player 72,Group 14,Group 8,Group 1,Group 3,Group 14,Group 11
Player 73,Group 15,Group 3,Group 13,Group 12,Group 17,Group 11
Player 74,Group 17,Group 10,Group 17,Group 8,Group 10,Group 19
Player 75,Group 1,Group 13,Group 6,Group 9,Group 15,Group 14
Player 76,Group 15,Group 5,Group 16,Group 9,Group 10,Group 2
